26/09/2023 17:52:42	Device already connected
26/09/2023 17:52:42	Ready to play!
26/09/2023 17:52:42	Front playlist:
26/09/2023 17:52:42		/home/a.occelli/sm_demo/media/neck/05_minuano.wav
26/09/2023 17:52:42		/home/a.occelli/sm_demo/media/neck/07_somayitsecretlybegin.wav
26/09/2023 17:52:42		/home/a.occelli/sm_demo/media/neck/01_last_train_home.wav
26/09/2023 17:52:42		/home/a.occelli/sm_demo/media/neck/06_pavane.wav
26/09/2023 17:52:42		/home/a.occelli/sm_demo/media/neck/04_marechia.wav
26/09/2023 17:52:42		/home/a.occelli/sm_demo/media/neck/03_igy.wav
26/09/2023 17:52:42		/home/a.occelli/sm_demo/media/neck/02_ceora.wav
26/09/2023 17:52:42	Neck playlist: 
26/09/2023 17:52:42		/home/a.occelli/sm_demo/media/neck/05_minuano.wav
26/09/2023 17:52:42		/home/a.occelli/sm_demo/media/neck/07_somayitsecretlybegin.wav
26/09/2023 17:52:42		/home/a.occelli/sm_demo/media/neck/01_last_train_home.wav
26/09/2023 17:52:42		/home/a.occelli/sm_demo/media/neck/06_pavane.wav
26/09/2023 17:52:42		/home/a.occelli/sm_demo/media/neck/04_marechia.wav
26/09/2023 17:52:42		/home/a.occelli/sm_demo/media/neck/03_igy.wav
26/09/2023 17:52:42		/home/a.occelli/sm_demo/media/neck/02_ceora.wav
26/09/2023 17:52:42	SM Demo:	BT device not found. Please wait...
26/09/2023 17:52:42	SM Demo:	setting neckband to max
26/09/2023 17:52:44	SM Demo:	BT volume set to max
26/09/2023 17:52:44	bluez_sink.78_5E_A2_F9_A5_9A.a2dp_sink: 	Loading player
26/09/2023 17:52:44	bluez_sink.78_5E_A2_F9_A5_9A.a2dp_sink: 	Setting volume to 70%
26/09/2023 17:52:44	bluez_sink.78_5E_A2_F9_A5_9A.a2dp_sink: 	Playing /home/a.occelli/sm_demo/media/neck/06_pavane.wav
26/09/2023 17:52:44	alsa_output.platform-bcm2835_audio.analog-stereo: 	Loading player
26/09/2023 17:52:44	alsa_output.platform-bcm2835_audio.analog-stereo: 	Playing /home/a.occelli/sm_demo/media/neck/06_pavane.wav
26/09/2023 17:52:44	SM Demo:	Distance sensor status=False
26/09/2023 17:52:44	SM_Demo:	Demo started...
26/09/2023 17:52:46	bluez_sink.78_5E_A2_F9_A5_9A.a2dp_sink: 	Playing /home/a.occelli/sm_demo/media/neck/06_pavane.wav
26/09/2023 17:52:46	alsa_output.platform-bcm2835_audio.analog-stereo: 	Playing /home/a.occelli/sm_demo/media/neck/06_pavane.wav
