26/09/2023 15:25:45	Device already connected
26/09/2023 15:25:45	Ready to play!
26/09/2023 15:25:45	Front playlist:
26/09/2023 15:25:45		/home/a.occelli/sm_demo/media/neck/05_minuano.wav
26/09/2023 15:25:45		/home/a.occelli/sm_demo/media/neck/07_somayitsecretlybegin.wav
26/09/2023 15:25:45		/home/a.occelli/sm_demo/media/neck/01_last_train_home.wav
26/09/2023 15:25:45		/home/a.occelli/sm_demo/media/neck/06_pavane.wav
26/09/2023 15:25:45		/home/a.occelli/sm_demo/media/neck/04_marechia.wav
26/09/2023 15:25:45		/home/a.occelli/sm_demo/media/neck/03_igy.wav
26/09/2023 15:25:45		/home/a.occelli/sm_demo/media/neck/02_ceora.wav
26/09/2023 15:25:45	Neck playlist: 
26/09/2023 15:25:45		/home/a.occelli/sm_demo/media/neck/05_minuano.wav
26/09/2023 15:25:45		/home/a.occelli/sm_demo/media/neck/07_somayitsecretlybegin.wav
26/09/2023 15:25:45		/home/a.occelli/sm_demo/media/neck/01_last_train_home.wav
26/09/2023 15:25:45		/home/a.occelli/sm_demo/media/neck/06_pavane.wav
26/09/2023 15:25:45		/home/a.occelli/sm_demo/media/neck/04_marechia.wav
26/09/2023 15:25:45		/home/a.occelli/sm_demo/media/neck/03_igy.wav
26/09/2023 15:25:45		/home/a.occelli/sm_demo/media/neck/02_ceora.wav
26/09/2023 15:25:45	SM Demo:	BT device not found. Please wait...
26/09/2023 15:25:45	SM Demo:	setting neckband to max
26/09/2023 15:25:47	SM Demo:	BT volume set to max
26/09/2023 15:25:47	bluez_sink.78_5E_A2_F9_A5_9A.a2dp_sink: 	Loading player
26/09/2023 15:25:47	bluez_sink.78_5E_A2_F9_A5_9A.a2dp_sink: 	Playing /home/a.occelli/sm_demo/media/neck/05_minuano.wav
26/09/2023 15:25:47	alsa_output.platform-bcm2835_audio.analog-stereo: 	Loading player
26/09/2023 15:25:47	alsa_output.platform-bcm2835_audio.analog-stereo: 	Playing /home/a.occelli/sm_demo/media/neck/05_minuano.wav
26/09/2023 15:25:47	SM Demo:	Distance sensor status=False
26/09/2023 15:25:47	SM_Demo:	Demo started...
26/09/2023 15:26:16	alsa_output.platform-bcm2835_audio.analog-stereo: 	Playing /home/a.occelli/sm_demo/media/neck/05_minuano.wav
26/09/2023 15:26:16	bluez_sink.78_5E_A2_F9_A5_9A.a2dp_sink: 	Playing /home/a.occelli/sm_demo/media/neck/05_minuano.wav
